key,riot_id,name,title,primary_role,tags,counters,against,synergy_good,synergy_bad
266,Aatrox,Aatrox,a Espada Darkin,Fighter,Fighter,Galio|Amumu|Shen|Rell|Nautilus,Karthus|Evelynn|Ekko|Vel'Koz|Annie,Brand|Thresh|Amumu,Tryndamere|Naafiri|Illaoi
103,Ahri,Ahri,a Raposa de Nove Caudas,Mage,Mage|Assassin,Vladimir|Fizz|Warwick|Master Yi|Urgot,Tristana|Samira|Shaco|Kha'Zix|Qiyana,Jinx|Malphite|Galio,Tristana|Zyra|Annie
84,Akali,Akali,a Assassina Renegada,Assassin,Assassin,Aurelion Sol|Ashe|Taliyah|Malzahar|Evelynn,Tahm Kench|Taric|Braum|Cho'Gath|Maokai,Lulu|Veigar|Aurora,Lucian|Kindred|Caitlyn
166,Akshan,Akshan,o Sentinela Rebelde,Assassin,Marksman|Assassin,Cassiopeia|Zyra|Caitlyn|Malzahar|Heimerdinger,Cho'Gath|Nautilus|Singed|Leona|Ornn,Malzahar|Taric|Heimerdinger,Jinx|Kha'Zix|Kalista
12,Alistar,Alistar,o Minotauro,Tank,Tank|Support,Pyke|Tristana|Vayne|Twitch|Shaco,Jayce|Caitlyn|Viego|Master Yi|Rek'Sai,Milio|Miss Fortune|Nidalee,Shen|Taric|Thresh
799,Ambessa,Ambessa,Matriarca da Guerra,Fighter,Fighter|Assassin,Singed|Taric|Rell|Maokai|Shen,Aurora|Mel|Anivia|Kassadin|Ryze,Ziggs|Rakan|Fiddlesticks,Wukong|Darius|Zed
32,Amumu,Amumu,a Múmia Triste,Tank,Tank|Support,Shaco|Vayne|Samira|Quinn|Zed,Briar|Vladimir|Gnar|Mordekaiser|Caitlyn,Lissandra|Zoe|Zyra,Rell|Shen|Malphite
34,Anivia,Anivia,a Criofênix,Mage,Mage,Rumble|Rek'Sai|Shyvana|Urgot|Zaahen,Twitch|Tristana|Akali|Qiyana|Zed,Braum|Galio|Yunara,Kayle|Malzahar|Swain
1,Annie,Annie,a Criança Sombria,Mage,Mage|Support,K'Sante|Nocturne|Jayce|Trundle|Fiora,Qiyana|Akali|Zed|Akshan|Talon,Shen|Senna|Caitlyn,Yuumi|Vayne|Shaco
523,Aphelios,Aphelios,a Arma dos Devotos,Marksman,Marksman,Singed|Braum|Amumu|Tahm Kench|Thresh,Qiyana|Vayne|Shaco|Lucian|Quinn,Veigar|Smolder|Karma,Sivir|Lucian|Yunara
22,Ashe,Ashe,a Arqueira do Gelo,Marksman,Marksman|Support,Thresh|Sejuani|Nunu e Willump|Braum|Tahm Kench,Shaco|Vayne|Samira|Quinn|Zed,Thresh|Cassiopeia|Rammus,Graves|Lucian|Kindred
136,AurelionSol,Aurelion Sol,o Forjador de Estrelas,Mage,Mage,Illaoi|Irelia|Rengar|Riven|Trundle,Akali|Shaco|Talon|Zed|Pyke,Senna|Ashe|Rammus,Corki|Akali|Lucian
893,Aurora,Aurora,a Bruxa Entre Mundos,Mage,Mage|Assassin,Ambessa|Nilah|Fiora|Gwen|Warwick,Vayne|Twitch|Pyke|Shaco|Kha'Zix,Ornn|Rakan|Graves,Smolder|Renata Glasc|Syndra
268,Azir,Azir,o Imperador das Areias,Mage,Mage|Marksman,Gangplank|Vi|Naafiri|Fizz|Dr. Mundo,Vayne|Akshan|Kha'Zix|Lucian|Shaco,Amumu|Blitzcrank|Braum,Veigar|Neeko|Brand
432,Bard,Bardo,o Protetor Andarilho,Mage,Support|Mage,Shyvana|Yone|Wukong|Nocturne|Ambessa,Quinn|Talon|Shaco|Lucian|Samira,Tahm Kench|Nautilus|Zeri,Taliyah|Anivia|Smolder
200,Belveth,Bel'Veth,a Imperatriz do Vazio,Fighter,Fighter,Nautilus|Tahm Kench|Maokai|Leona|Rell,Neeko|Orianna|LeBlanc|Vel'Koz|Smolder,Miss Fortune|Lissandra|Tahm Kench,Irelia|Jarvan IV|Fizz
53,Blitzcrank,Blitzcrank,o Grande Golem a Vapor,Tank,Tank|Support,Kha'Zix|Tristana|Lucian|Shaco|Talon,Tryndamere|Sion|Vi|Gangplank|Jinx,Karma|Kindred|Seraphine,Maokai|Taric|Nautilus
63,Brand,Brand,a Vingança Flamejante,Mage,Mage|Support,Gangplank|Jayce|Gragas|Rumble|Darius,Tristana|Vayne|Lucian|Pyke|Talon,Leona|Alistar|Caitlyn,Malzahar|Kai'Sa|Ryze
201,Braum,Braum,o Coração de Freljord,Tank,Tank|Support,Zed|Samira|Kha'Zix|Tristana|Akshan,Sion|Gwen|Senna|Graves|Nilah,Anivia|Sivir|Janna,Shen|Tahm Kench|Rell
233,Briar,Briar,a Fome Contida,Fighter,Fighter|Assassin,Malphite|Shen|Braum|Maokai|Ornn,Sona|Katarina|Heimerdinger|Aurelion Sol|Seraphine,Morgana|Amumu|Maokai,Pyke|Talon|Aatrox
51,Caitlyn,Caitlyn,a Xerife de Piltover,Marksman,Marksman,Sejuani|Amumu|Singed|Blitzcrank|Nautilus,Twitch|Samira|Quinn|Zed|Akshan,Aurora|Cho'Gath|Ekko,Zed|Yunara|Lucian
164,Camille,Camille,a Sombra de Aço,Fighter,Fighter|Assassin,Tahm Kench|Malphite|Rammus|Cho'Gath|Nautilus,Azir|Mel|Katarina|Brand|Sona,Syndra|Tahm Kench|Renata Glasc,Gnar|Pantheon|Nocturne
69,Cassiopeia,Cassiopeia,o Abraço da Serpente,Mage,Mage,Rek'Sai|Pantheon|Renekton|Jarvan IV|Yasuo,Akali|Tristana|Shaco|Quinn|Twitch,Ornn|Nautilus|Alistar,Taliyah|Teemo|Kog'Maw
31,Chogath,Cho'Gath,o Terror do Vazio,Tank,Tank|Mage,Akshan|Tristana|Talon|Akali|Samira,Yorick|Jinx|Viego|Sivir|Urgot,Graves|Kindred|Elise,Singed|Leona|Shen
